run,model_type,path,loss,accuracy,f1_score,Cis_reg_f1,Cis_reg_IRES_f1,Cis_reg_frameshift_element_f1,Cis_reg_leader_f1,Cis_reg_riboswitch_f1,Cis_reg_thermoregulator_f1,Cis_reg_precision,Cis_reg_IRES_precision,Cis_reg_frameshift_element_precision,Cis_reg_leader_precision,Cis_reg_riboswitch_precision,Cis_reg_thermoregulator_precision,Cis_reg_recall,Cis_reg_IRES_recall,Cis_reg_frameshift_element_recall,Cis_reg_leader_recall,Cis_reg_riboswitch_recall,Cis_reg_thermoregulator_recall,Cis_reg_support,Cis_reg_IRES_support,Cis_reg_frameshift_element_support,Cis_reg_leader_support,Cis_reg_riboswitch_support,Cis_reg_thermoregulator_support,Gene_f1,Gene_CRISPR_f1,Gene_antisense_f1,Gene_antitoxin_f1,Gene_miRNA_f1,Gene_rRNA_f1,Gene_ribozyme_f1,Gene_sRNA_f1,Gene_snRNA_snoRNA_CD_box_f1,Gene_snRNA_snoRNA_HACA_box_f1,Gene_snRNA_snoRNA_scaRNA_f1,Gene_snRNA_splicing_f1,Gene_tRNA_f1,Gene_lncRNA_f1,Gene_snRNA_f1,Gene_snRNA_snoRNA_f1,Gene_precision,Gene_CRISPR_precision,Gene_antisense_precision,Gene_antitoxin_precision,Gene_miRNA_precision,Gene_rRNA_precision,Gene_ribozyme_precision,Gene_sRNA_precision,Gene_snRNA_snoRNA_CD_box_precision,Gene_snRNA_snoRNA_HACA_box_precision,Gene_snRNA_snoRNA_scaRNA_precision,Gene_snRNA_splicing_precision,Gene_tRNA_precision,Gene_lncRNA_precision,Gene_snRNA_precision,Gene_snRNA_snoRNA_precision,Gene_recall,Gene_CRISPR_recall,Gene_antisense_recall,Gene_antitoxin_recall,Gene_miRNA_recall,Gene_rRNA_recall,Gene_ribozyme_recall,Gene_sRNA_recall,Gene_snRNA_snoRNA_CD_box_recall,Gene_snRNA_snoRNA_HACA_box_recall,Gene_snRNA_snoRNA_scaRNA_recall,Gene_snRNA_splicing_recall,Gene_tRNA_recall,Gene_lncRNA_recall,Gene_snRNA_recall,Gene_snRNA_snoRNA_recall,Gene_support,Gene_CRISPR_support,Gene_antisense_support,Gene_antitoxin_support,Gene_miRNA_support,Gene_rRNA_support,Gene_ribozyme_support,Gene_sRNA_support,Gene_snRNA_snoRNA_CD_box_support,Gene_snRNA_snoRNA_HACA_box_support,Gene_snRNA_snoRNA_scaRNA_support,Gene_snRNA_splicing_support,Gene_tRNA_support,Gene_lncRNA_support,Gene_snRNA_support,Gene_snRNA_snoRNA_support,Intron_f1,Intron_precision,Intron_recall,Intron_support,macro_avg_f1,macro_avg_precision,macro_avg_recall,macro_avg_support,weighted_avg_f1,weighted_avg_precision,weighted_avg_recall,weighted_avg_support,folder,use_nucleotide,use_structure_annotation,use_pseudoknot,use_position_encoding
gat_False_True_True_True_20251211_011332,gat,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gat_False_True_True_True_20251211_011332,0.6523,0.7543,0.7531,0.47,0.54,0.59,0.52,0.88,,0.66,0.4,0.45,0.38,0.9,,0.37,0.82,0.87,0.86,0.86,,219.0,17.0,15.0,50.0,302.0,,0.57,0.49,0.85,0.45,0.9,0.94,0.91,0.5,0.86,0.82,0.53,0.75,0.96,,,,0.67,0.32,0.86,0.31,0.87,0.9,0.98,0.58,0.91,0.88,0.43,0.63,0.92,,,,0.49,1.0,0.84,0.85,0.92,0.99,0.84,0.44,0.82,0.77,0.69,0.93,1.0,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.86,0.79,0.95,98.0,0.7,0.67,0.81,2214.0,0.75,0.78,0.75,2214.0,runs_2nd_split,False,True,True,True
gin_False_True_True_True_20251211_052416,gin,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gin_False_True_True_True_20251211_052416,0.291,0.9056,0.9051,0.77,0.81,0.88,0.78,0.98,,0.83,0.68,0.82,0.65,0.98,,0.72,1.0,0.93,0.98,0.98,,219.0,17.0,15.0,50.0,302.0,,0.88,0.77,0.91,0.86,0.97,0.99,0.93,0.79,0.93,0.91,0.77,0.98,1.0,,,,0.94,0.64,0.91,0.8,0.96,0.97,0.92,0.84,0.93,0.92,0.67,0.97,1.0,,,,0.83,0.95,0.9,0.92,0.98,1.0,0.94,0.75,0.94,0.9,0.92,0.98,1.0,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.98,0.95,1.0,98.0,0.89,0.86,0.93,2214.0,0.91,0.91,0.91,2214.0,runs_2nd_split,False,True,True,True
gat_False_False_True_True_20251211_055746,gat,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gat_False_False_True_True_20251211_055746,2.2566,0.3058,0.3104,0.02,0.05,0.0,0.0,0.22,,0.08,0.03,0.0,0.0,0.29,,0.01,0.24,0.0,0.0,0.18,,219.0,17.0,15.0,50.0,302.0,,0.27,0.07,0.41,0.0,0.7,0.24,0.82,0.04,0.44,0.6,0.16,0.13,0.0,,,,0.4,0.04,0.59,0.0,0.77,0.15,0.9,0.27,0.58,0.59,0.14,0.07,0.0,,,,0.2,0.32,0.31,0.0,0.64,0.56,0.75,0.02,0.35,0.61,0.19,0.72,0.0,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.0,0.0,0.0,98.0,0.22,0.26,0.27,2214.0,0.31,0.39,0.31,2214.0,runs_2nd_split,False,False,True,True
gcn_True_False_True_True_20251211_041554,gcn,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gcn_True_False_True_True_20251211_041554,0.6315,0.7462,0.7414,0.42,0.39,0.79,0.58,0.84,,0.69,0.24,0.65,0.45,0.92,,0.3,0.94,1.0,0.82,0.77,,219.0,17.0,15.0,50.0,302.0,,0.54,0.61,0.84,0.46,0.88,0.72,0.94,0.51,0.92,0.82,0.71,0.7,0.89,,,,0.57,0.45,0.85,0.35,0.86,0.57,0.98,0.6,0.98,0.82,0.64,0.55,0.8,,,,0.52,0.95,0.83,0.69,0.91,0.97,0.9,0.44,0.86,0.83,0.81,0.95,1.0,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.85,0.78,0.94,98.0,0.71,0.67,0.81,2214.0,0.74,0.77,0.75,2214.0,runs_2nd_split,True,False,True,True
gin_True_False_False_False_20251211_061357,gin,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gin_True_False_False_False_20251211_061357,0.7317,0.7249,0.716,0.45,0.52,0.68,0.43,0.82,,0.53,0.41,0.52,0.3,0.82,,0.39,0.71,1.0,0.74,0.82,,219.0,17.0,15.0,50.0,302.0,,0.57,0.78,0.83,0.83,0.82,0.93,0.87,0.38,0.91,0.7,0.7,0.87,0.9,,,,0.5,0.67,0.83,0.75,0.84,0.91,0.93,0.64,0.92,0.61,0.8,0.83,0.84,,,,0.66,0.95,0.83,0.92,0.8,0.96,0.83,0.27,0.9,0.82,0.62,0.9,0.98,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.85,0.77,0.96,98.0,0.73,0.71,0.79,2214.0,0.72,0.74,0.72,2214.0,runs_2nd_split,True,False,False,False
gat_True_False_True_True_20251211_020312,gat,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gat_True_False_True_True_20251211_020312,1.2203,0.5619,0.5652,0.22,0.21,0.71,0.35,0.69,,0.37,0.14,0.69,0.63,0.76,,0.16,0.47,0.73,0.24,0.63,,219.0,17.0,15.0,50.0,302.0,,0.33,0.65,0.63,0.45,0.78,0.51,0.85,0.45,0.72,0.53,0.24,0.46,0.44,,,,0.44,0.53,0.56,0.32,0.77,0.34,0.94,0.56,0.91,0.79,0.15,0.35,0.28,,,,0.27,0.84,0.71,0.77,0.78,0.96,0.78,0.37,0.59,0.4,0.58,0.69,1.0,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.58,0.49,0.7,98.0,0.52,0.53,0.61,2214.0,0.57,0.64,0.56,2214.0,runs_2nd_split,True,False,True,True
gin_True_True_True_True_20251211_042930,gin,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gin_True_True_True_True_20251211_042930,0.2835,0.9182,0.9167,0.8,0.88,0.97,0.9,0.98,,0.84,0.93,0.94,0.84,0.97,,0.77,0.82,1.0,0.96,0.99,,219.0,17.0,15.0,50.0,302.0,,0.86,0.95,0.9,0.81,0.97,0.95,0.96,0.79,0.97,0.96,0.88,0.94,0.99,,,,0.85,0.95,0.88,0.79,0.94,0.91,0.98,0.83,0.98,0.95,0.95,0.88,0.98,,,,0.88,0.95,0.91,0.85,0.99,1.0,0.94,0.74,0.95,0.96,0.81,1.0,1.0,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.95,0.91,0.99,98.0,0.91,0.91,0.92,2214.0,0.92,0.92,0.92,2214.0,runs_2nd_split,True,True,True,True
gin_True_False_True_False_20251211_003438,gin,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gin_True_False_True_False_20251211_003438,0.7572,0.7561,0.7563,0.48,0.46,0.75,0.52,0.87,,0.55,0.34,0.71,0.37,0.89,,0.43,0.71,0.8,0.84,0.85,,219.0,17.0,15.0,50.0,302.0,,0.65,0.69,0.89,0.62,0.84,0.96,0.91,0.51,0.91,0.74,0.72,0.79,0.9,,,,0.78,0.55,0.94,0.53,0.87,0.96,0.95,0.58,0.95,0.64,0.66,0.69,0.81,,,,0.55,0.95,0.84,0.77,0.82,0.96,0.87,0.45,0.87,0.88,0.81,0.92,1.0,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.91,0.97,0.87,98.0,0.74,0.72,0.8,2214.0,0.76,0.77,0.76,2214.0,runs_2nd_split,True,False,True,False
gat_False_True_False_True_20251211_044728,gat,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gat_False_True_False_True_20251211_044728,0.7345,0.7493,0.7478,0.48,0.33,0.48,0.57,0.88,,0.6,0.2,0.33,0.43,0.9,,0.4,0.94,0.93,0.84,0.85,,219.0,17.0,15.0,50.0,302.0,,0.52,0.56,0.84,0.63,0.91,0.97,0.83,0.45,0.87,0.81,0.56,0.78,0.99,,,,0.54,0.42,0.83,0.48,0.89,0.95,0.81,0.6,0.88,0.85,0.52,0.67,0.98,,,,0.49,0.84,0.84,0.92,0.92,0.99,0.86,0.36,0.86,0.77,0.62,0.92,1.0,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.88,0.82,0.95,98.0,0.7,0.67,0.81,2214.0,0.75,0.77,0.75,2214.0,runs_2nd_split,False,True,False,True
gin_False_True_True_False_20251211_054245,gin,/Users/elimeyers/ribozyme/results/runs/runs_2nd_split/gin_False_True_True_False_20251211_054245,0.501,0.8085,0.8076,0.61,0.69,0.62,0.63,0.92,,0.71,0.53,0.47,0.49,0.94,,0.54,1.0,0.93,0.86,0.91,,219.0,17.0,15.0,50.0,302.0,,0.6,0.74,0.84,0.59,0.92,0.99,0.92,0.59,0.88,0.83,0.62,0.8,1.0,,,,0.54,0.63,0.81,0.46,0.92,0.99,0.96,0.71,0.93,0.77,0.53,0.71,1.0,,,,0.67,0.89,0.87,0.85,0.92,1.0,0.87,0.5,0.82,0.89,0.77,0.92,1.0,,,,93.0,19.0,70.0,13.0,364.0,72.0,63.0,266.0,234.0,185.0,26.0,61.0,47.0,,,,0.96,0.94,0.98,98.0,0.78,0.74,0.85,2214.0,0.81,0.82,0.81,2214.0,runs_2nd_split,False,True,True,False
